Date,Close,Close_diff,Close_predicted
2019-01-02,2510.030029296875,,
2019-01-03,2447.889892578125,-62.14013671875,2385.749755859375
2019-01-04,2531.93994140625,84.050048828125,2615.989990234375
2019-01-07,2549.68994140625,17.75,2567.43994140625
2019-01-08,2574.409912109375,24.719970703125,2599.1298828125
2019-01-09,2584.9599609375,10.550048828125,2595.510009765625
2019-01-10,2596.639892578125,11.679931640625,2608.31982421875
2019-01-11,2596.260009765625,-0.3798828125,2595.880126953125
2019-01-14,2582.610107421875,-13.64990234375,2568.960205078125
2019-01-15,2610.300048828125,27.68994140625,2637.989990234375
2019-01-16,2616.10009765625,5.800048828125,2621.900146484375
2019-01-17,2635.9599609375,19.85986328125,2655.81982421875
2019-01-18,2670.7099609375,34.75,2705.4599609375
2019-01-22,2632.89990234375,-37.81005859375,2595.08984375
2019-01-23,2638.699951171875,5.800048828125,2644.5
2019-01-24,2642.330078125,3.630126953125,2645.960205078125
2019-01-25,2664.760009765625,22.429931640625,2687.18994140625
2019-01-28,2643.85009765625,-20.909912109375,2622.940185546875
2019-01-29,2640.0,-3.85009765625,2636.14990234375
2019-01-30,2681.050048828125,41.050048828125,2722.10009765625
2019-01-31,2704.10009765625,23.050048828125,2727.150146484375
2019-02-01,2706.530029296875,2.429931640625,2708.9599609375
2019-02-04,2724.8701171875,18.340087890625,2743.210205078125
2019-02-05,2737.699951171875,12.829833984375,2750.52978515625
2019-02-06,2731.610107421875,-6.08984375,2725.520263671875
2019-02-07,2706.050048828125,-25.56005859375,2680.489990234375
2019-02-08,2707.8798828125,1.829833984375,2709.709716796875
2019-02-11,2709.800048828125,1.920166015625,2711.72021484375
2019-02-12,2744.72998046875,34.929931640625,2779.659912109375
2019-02-13,2753.030029296875,8.300048828125,2761.330078125
2019-02-14,2745.72998046875,-7.300048828125,2738.429931640625
2019-02-15,2775.60009765625,29.8701171875,2805.47021484375
2019-02-19,2779.760009765625,4.159912109375,2783.919921875
2019-02-20,2784.699951171875,4.93994140625,2789.639892578125
2019-02-21,2774.8798828125,-9.820068359375,2765.059814453125
2019-02-22,2792.669921875,17.7900390625,2810.4599609375
2019-02-25,2796.110107421875,3.440185546875,2799.55029296875
2019-02-26,2793.89990234375,-2.210205078125,2791.689697265625
2019-02-27,2792.3798828125,-1.52001953125,2790.85986328125
2019-02-28,2784.489990234375,-7.889892578125,2776.60009765625
2019-03-01,2803.68994140625,19.199951171875,2822.889892578125
2019-03-04,2792.81005859375,-10.8798828125,2781.93017578125
2019-03-05,2789.64990234375,-3.16015625,2786.48974609375
